time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: 0.00792
time: 1.0, P0: 0.9746379539602074, P1: 0.021871427131489977, P2: 0.00349061890830267, TI2: 0.016772664948095317
time: 2.0, P0: 0.9661753162658551, P1: 0.027305388131082152, P2: 0.0065192956030627365, TI2: 0.028263979337207618
time: 3.0, P0: 0.9541541812466503, P1: 0.036001454262996745, P2: 0.009844364490352898, TI2: 0.04361018324370254
time: 4.0, P0: 0.9377356519630652, P1: 0.04824560437820982, P2: 0.014018743658724924, TI2: 0.0642030916956597
time: 5.0, P0: 0.9158162746264347, P1: 0.06461508920523157, P2: 0.01956863616833372, TI2: 0.091672361541899
time: 6.0, P0: 0.8871199439828241, P1: 0.0857871825473202, P2: 0.027092873469855637, TI2: 0.12789292948703151
time: 7.0, P0: 0.8503948558159062, P1: 0.11234691123442155, P2: 0.037258232949672176, TI2: 0.17478337713376588
time: 8.0, P0: 0.8046659733742325, P1: 0.14448529198760013, P2: 0.05084873463816729, TI2: 0.23410276126393464
time: 9.0, P0: 0.7497620018408794, P1: 0.1813747464431496, P2: 0.06886325171597096, TI2: 0.3070212498750913
time: 10.0, P0: 0.686295555945297, P1: 0.22206051239748467, P2: 0.09164393165721813, TI2: 0.3932683757119209
time: 11.0, P0: 0.6168397946948797, P1: 0.26301462093348177, P2: 0.1201455843716384, TI2: 0.4912257896767586
time: 12.0, P0: 0.5445805072936332, P1: 0.301758132109859, P2: 0.15366136059650765, TI2: 0.5970008533028743
time: 13.0, P0: 0.4735558211344141, P1: 0.33558989552860824, P2: 0.19085428333697757, TI2: 0.7052184622025633
time: 14.0, P0: 0.4082037068272609, P1: 0.3611072627075572, P2: 0.23068903046518174, TI2: 0.8104053236379207
time: 15.0, P0: 0.35047653094856507, P1: 0.380193503212769, P2: 0.26932996583866575, TI2: 0.9067734348901005
time: 16.0, P0: 0.30272081502135145, P1: 0.3911457010525242, P2: 0.30613348392612416, TI2: 0.9913326689047727
time: 17.0, P0: 0.26409919116238684, P1: 0.397864220350578, P2: 0.338036588487035, TI2: 1.0618573973246481
time: 18.0, P0: 0.23443992392460855, P1: 0.40013150055914565, P2: 0.3654285755162457, TI2: 1.118908651591637
time: 19.0, P0: 0.21176632567577053, P1: 0.40102019948710993, P2: 0.3872134748371195, TI2: 1.1633671491613489
time: 20.0, P0: 0.19514388648543068, P1: 0.40019198095972836, P2: 0.4046641325548409, TI2: 1.19744024606941
time: 21.0, P0: 0.18277675149817535, P1: 0.39951066265206037, P2: 0.4177125858497641, TI2: 1.2228558343515887
time: 22.0, P0: 0.17395104717542687, P1: 0.3982973479676388, P2: 0.42775160485693414, TI2: 1.2417205576815071
time: 23.0, P0: 0.16747985224231518, P1: 0.3975100042476017, P2: 0.435010143510083, TI2: 1.2554502912677674
time: 24.0, P0: 0.16286150166619467, P1: 0.3967701619234279, P2: 0.44036833641037737, TI2: 1.2654268347441824
time: 25.0, P0: 0.15963344426286816, P1: 0.3959968772991745, P2: 0.44436967843795727, TI2: 1.2726562341750889
time: 26.0, P0: 0.15717190427201655, P1: 0.39580288015338944, P2: 0.44702521557459396, TI2: 1.277773311302577
time: 27.0, P0: 0.1555331609995592, P1: 0.39535467283792136, P2: 0.4491121661625195, TI2: 1.28149900516296
time: 28.0, P0: 0.15441995657959393, P1: 0.39489607702097573, P2: 0.4506839663994304, TI2: 1.2841840098198363
time: 29.0, P0: 0.15339768060714531, P1: 0.3951553282642752, P2: 0.4514469911285796, TI2: 1.2859693105214343
time: 30.0, P0: 0.15281850917420658, P1: 0.3949474057467593, P2: 0.4522340850790342, TI2: 1.2873355759048275
time: 31.0, P0: 0.15260672402455935, P1: 0.3942755011752186, P2: 0.45311777480022203, TI2: 1.2884310507756624
time: 32.0, P0: 0.15216090726869624, P1: 0.39457896805355946, P2: 0.45326012467774435, TI2: 1.289019217409048
time: 33.0, P0: 0.151885919980991, P1: 0.3946794930520479, P2: 0.45343458696696115, TI2: 1.28946866698597
time: 34.0, P0: 0.15188946692493074, P1: 0.3942179634376027, P2: 0.4538925696374667, TI2: 1.2899231027125357
time: 35.0, P0: 0.15165142959292796, P1: 0.39453458148458337, P2: 0.45381398892248886, TI2: 1.2900825593295606
time: 36.0, P0: 0.15156504697951034, P1: 0.39453705232785835, P2: 0.45389790069263153, TI2: 1.290252853713121
time: 37.0, P0: 0.15161498782718222, P1: 0.3942400557963055, P2: 0.4541449563765125, TI2: 1.29044996854933
