time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: 0.00592
time: 1.0, P0: 0.9768978892325129, P1: 0.020070136700999674, P2: 0.0030319740664874716, TI2: 0.012054084833974616
time: 2.0, P0: 0.9718060791074513, P1: 0.02318542027942109, P2: 0.005008500613127536, TI2: 0.019122421505676158
time: 3.0, P0: 0.9650097463472663, P1: 0.02821193276277588, P2: 0.006778320889957747, TI2: 0.02768857454269137
time: 4.0, P0: 0.9564268705187489, P1: 0.03485339805417169, P2: 0.008719731427079503, TI2: 0.0382128609083307
time: 5.0, P0: 0.9458111097321644, P1: 0.04314830072573564, P2: 0.01104058954209996, TI2: 0.05114947980993555
time: 6.0, P0: 0.9328372556773407, P1: 0.05326788867784981, P2: 0.013894855644809606, TI2: 0.06697759996746902
time: 7.0, P0: 0.9171502280976702, P1: 0.06541127129573174, P2: 0.017438500606598056, TI2: 0.08620827250892783
time: 8.0, P0: 0.8983881138095648, P1: 0.07979698341167284, P2: 0.021814902778762434, TI2: 0.10934678896919772
time: 9.0, P0: 0.8762136792150409, P1: 0.09663375666385322, P2: 0.027152564121105904, TI2: 0.13685888490606504
time: 10.0, P0: 0.8504894426973015, P1: 0.11577012680917018, P2: 0.03374043049352832, TI2: 0.16917098779622683
time: 11.0, P0: 0.8210322752126108, P1: 0.13741864323094213, P2: 0.04154908155644705, TI2: 0.20643680634383627
time: 12.0, P0: 0.7881065718963043, P1: 0.16101474943155397, P2: 0.050878678672141756, TI2: 0.24869210677583753
time: 13.0, P0: 0.7521827808079538, P1: 0.1859308587482547, P2: 0.061886360443791456, TI2: 0.29562357963583774
time: 14.0, P0: 0.7136642623721506, P1: 0.2122024574011911, P2: 0.07413328022665829, TI2: 0.3463890178545077
time: 15.0, P0: 0.6739249941200616, P1: 0.23791430942525127, P2: 0.08816069645468719, TI2: 0.40015570233462566
time: 16.0, P0: 0.6336320939710286, P1: 0.2632910913236439, P2: 0.10307681470532748, TI2: 0.4553647207342989
time: 17.0, P0: 0.5942292561445864, P1: 0.28681073411106606, P2: 0.1189600097443475, TI2: 0.5106507535997611
time: 18.0, P0: 0.5566716948167411, P1: 0.3081325753750594, P2: 0.13519572980819955, TI2: 0.5644440349914585
time: 19.0, P0: 0.5217564095270376, P1: 0.3270697792501309, P2: 0.15117381122283147, TI2: 0.6153374016957938
time: 20.0, P0: 0.49032742176252303, P1: 0.34288956549365124, P2: 0.16678301274382573, TI2: 0.6623755909813026
time: 21.0, P0: 0.4623440633576563, P1: 0.3565901987873374, P2: 0.18106573785500635, TI2: 0.70464167449735
time: 22.0, P0: 0.4383454266918468, P1: 0.3672018297413906, P2: 0.19445274356676262, TI2: 0.7420273168749159
time: 23.0, P0: 0.4176555530929446, P1: 0.3763946086316661, P2: 0.20594983827538924, TI2: 0.7742142851824445
time: 24.0, P0: 0.4005473608462955, P1: 0.3831091892233242, P2: 0.21634344993038032, TI2: 0.8017160890840849
time: 25.0, P0: 0.3861801449384893, P1: 0.38889428759315403, P2: 0.22492556746835682, TI2: 0.8246654225298676
time: 26.0, P0: 0.37450536827212577, P1: 0.39317700729059707, P2: 0.23231762443727724, TI2: 0.8437322561651516
time: 27.0, P0: 0.36504212666617136, P1: 0.39645354541988753, P2: 0.2385043279139411, TI2: 0.8593822012477698
time: 28.0, P0: 0.357241522061505, P1: 0.3994075634562879, P2: 0.24335091448220703, TI2: 0.872029392420702
time: 29.0, P0: 0.3512197770181271, P1: 0.40110432000809265, P2: 0.24767590297378023, TI2: 0.8823761259556531
time: 30.0, P0: 0.3461792136638631, P1: 0.4029907057369044, P2: 0.25083008059923245, TI2: 0.8905708669353694
time: 31.0, P0: 0.34221034453656385, P1: 0.4043449625145704, P2: 0.25344469294886574, TI2: 0.8971543484123019
time: 32.0, P0: 0.339279861170005, P1: 0.4048391241525733, P2: 0.2558810146774217, TI2: 0.9025211535074167
time: 33.0, P0: 0.336587741612431, P1: 0.4061528138382143, P2: 0.2572594445493547, TI2: 0.9065917029369237
time: 34.0, P0: 0.33466425589978155, P1: 0.4066584805228091, P2: 0.25867726357740933, TI2: 0.9099330076776279
time: 35.0, P0: 0.3333291581641264, P1: 0.40658363400412906, P2: 0.2600872078317446, TI2: 0.9126780496676182
time: 36.0, P0: 0.3318259810512516, P1: 0.4076609271038674, P2: 0.26051309184488103, TI2: 0.9146071107936296
time: 37.0, P0: 0.33098610450037524, P1: 0.40762938568976825, P2: 0.2613845098098566, TI2: 0.9163184053094816
time: 38.0, P0: 0.3303282466559083, P1: 0.4075923902389914, P2: 0.2620793631051003, TI2: 0.9176711164491922
time: 39.0, P0: 0.3295126550348617, P1: 0.4083175137032629, P2: 0.26216983126187543, TI2: 0.918577176227014
time: 40.0, P0: 0.3292327177789703, P1: 0.4079664026753749, P2: 0.26280087954565484, TI2: 0.9194881617666847
time: 41.0, P0: 0.32876490394934726, P1: 0.4083185858520374, P2: 0.2629165101986153, TI2: 0.9200716062492682
time: 42.0, P0: 0.3284192095020568, P1: 0.4085380159974544, P2: 0.2630427745004888, TI2: 0.9205435649984322
time: 43.0, P0: 0.32834138419866055, P1: 0.40821648805741145, P2: 0.26344212774392795, TI2: 0.9210207435452675
time: 44.0, P0: 0.32798039539907997, P1: 0.40872567166690327, P2: 0.2632939329340167, TI2: 0.9212335375349369
time: 45.0, P0: 0.3279128499647055, P1: 0.4085755105156888, P2: 0.2635116395196057, TI2: 0.9215187895549004
time: 46.0, P0: 0.32786841554826207, P1: 0.408435168073416, P2: 0.263696416378322, TI2: 0.9217480008300601
time: 47.0, P0: 0.3275857086838345, P1: 0.40895493793237414, P2: 0.26345935338379145, TI2: 0.9217936446999573
time: 48.0, P0: 0.3276933855725122, P1: 0.40852403880256954, P2: 0.26378257562491836, TI2: 0.9220091900524066
time: 49.0, P0: 0.32764236461218066, P1: 0.4085303688546396, P2: 0.26382726653317984, TI2: 0.9221049019209995
time: 50.0, P0: 0.32739760411569613, P1: 0.40905595963992186, P2: 0.2635464362443821, TI2: 0.9220688321286863
time: 51.0, P0: 0.3276308104597405, P1: 0.4083861256968734, P2: 0.26398306384338616, TI2: 0.9222722533836459
time: 52.0, P0: 0.32750507345381186, P1: 0.4086458959304571, P2: 0.26384903061573106, TI2: 0.9222639571619193
time: 53.0, P0: 0.3273713159752619, P1: 0.408938921744588, P2: 0.2636897622801501, TI2: 0.9222384463048884
time: 54.0, P0: 0.32760540035532965, P1: 0.4083060614685598, P2: 0.26408853817611067, TI2: 0.9224031378207813
time: 55.0, P0: 0.32738524233612615, P1: 0.40883694873203585, P2: 0.2637778089318381, TI2: 0.9223125665957123
time: 56.0, P0: 0.3274244091279043, P1: 0.40871424891775676, P2: 0.2638613419543391, TI2: 0.9223569328264352
time: 57.0, P0: 0.3274811042980397, P1: 0.4085518512220131, P2: 0.26396704447994734, TI2: 0.9224059401819079
time: 58.0, P0: 0.32732798957069664, P1: 0.40892718604428946, P2: 0.263744824385014, TI2: 0.9223368348143176
time: 59.0, P0: 0.32746822931730685, P1: 0.4085591238585073, P2: 0.263972646824186, TI2: 0.9224244175068794
time: 60.0, P0: 0.32743861523545625, P1: 0.40862563989410894, P2: 0.26393574487043503, TI2: 0.9224171296349791
