time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: 0.0010979999999999983
time: 1.0, P0: 0.9815843002879144, P1: 0.016248610163502035, P2: 0.002167089548583575, TI2: 0.0016807892606691824
time: 2.0, P0: 0.9819620257111714, P1: 0.015355094112490477, P2: 0.002682880176338108, TI2: 0.0018188544651666911
time: 3.0, P0: 0.9820525469797862, P1: 0.015141833957640998, P2: 0.002805619062572872, TI2: 0.0018510720827867398
time: 4.0, P0: 0.9820749682150185, P1: 0.01508986686884535, P2: 0.0028351649161361824, TI2: 0.0018581967011177135
time: 5.0, P0: 0.9820803155136006, P1: 0.01507833449397784, P2: 0.002841349992421578, TI2: 0.0018590344788209931
time: 6.0, P0: 0.9820822782894769, P1: 0.015074812682596151, P2: 0.0028429090279269036, TI2: 0.0018586307384499568
time: 7.0, P0: 0.9820837722283507, P1: 0.015072395498432372, P2: 0.002843832273216796, TI2: 0.0018580600448659635
time: 8.0, P0: 0.9820845060235724, P1: 0.015071772948830102, P2: 0.0028437210275974257, TI2: 0.0018572150040249515
time: 9.0, P0: 0.9820842865919672, P1: 0.015073402393234871, P2: 0.002842311014797874, TI2: 0.001856024422830617
time: 10.0, P0: 0.9820905779372261, P1: 0.01505960493981276, P2: 0.002849817122961062, TI2: 0.0018572391857348816
time: 11.0, P0: 0.9820855744359184, P1: 0.015072554261928554, P2: 0.0028418713021529465, TI2: 0.0018542968662344454
time: 12.0, P0: 0.9820821992716859, P1: 0.01508164107938912, P2: 0.0028361596489248375, TI2: 0.0018519603772387924
time: 13.0, P0: 0.9820882043369551, P1: 0.015068504628047461, P2: 0.002843291034997393, TI2: 0.001853086698042245
time: 14.0, P0: 0.9820865561335281, P1: 0.015073489763366052, P2: 0.002839954103105825, TI2: 0.0018513979695776999
time: 15.0, P0: 0.9820894078430442, P1: 0.015067810988387614, P2: 0.002842781168568163, TI2: 0.0018513733255239374
time: 16.0, P0: 0.9820892095499077, P1: 0.015069350753063173, P2: 0.0028414396970290906, TI2: 0.001850230147121352
time: 17.0, P0: 0.9820919131698693, P1: 0.015064011626799118, P2: 0.0028440752033316156, TI2: 0.0018501620334623488
time: 18.0, P0: 0.9820898855548138, P1: 0.01506987319370561, P2: 0.002840241251480598, TI2: 0.0018483556966668033
