time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: 0.01584
time: 1.0, P0: 0.9617636352440402, P1: 0.03364581021019286, P2: 0.004590554545766904, TI2: 0.038666919301726665
time: 2.0, P0: 0.9236479339915541, P1: 0.06427054905012705, P2: 0.012081516958318796, TI2: 0.08427358296676465
time: 3.0, P0: 0.8510041248457619, P1: 0.12161541492889716, P2: 0.027380460225340797, TI2: 0.17221633537957876
time: 4.0, P0: 0.727670443160244, P1: 0.2120803002392576, P2: 0.060249256600498256, TI2: 0.32841881344025414
time: 5.0, P0: 0.5540843357886839, P1: 0.319952421654661, P2: 0.12596324255665511, TI2: 0.5677189067679711
time: 6.0, P0: 0.3670328958660709, P1: 0.39956331209149165, P2: 0.23340379204243733, TI2: 0.8622108961763665
time: 7.0, P0: 0.21939421527673697, P1: 0.4168137517315027, P2: 0.36379203299176033, TI2: 1.1402378177150234
time: 8.0, P0: 0.1307281267464289, P1: 0.3907477468494396, P2: 0.47852412640413144, TI2: 1.3436359996577025
time: 9.0, P0: 0.0861652689807704, P1: 0.3574844954928254, P2: 0.5563502355264043, TI2: 1.4660249665456337
time: 10.0, P0: 0.06545538666579065, P1: 0.33390215090710373, P2: 0.6006424624271057, TI2: 1.531027075761315
time: 11.0, P0: 0.05604274815269237, P1: 0.3205192808417387, P2: 0.623437971005569, TI2: 1.5632352228528763
time: 12.0, P0: 0.05177246037965545, P1: 0.31366564960351045, P2: 0.6345618900168343, TI2: 1.5786294296371786
time: 13.0, P0: 0.049831735809457656, P1: 0.3103279975326367, P2: 0.6398402666579058, TI2: 1.585848530848448
time: 14.0, P0: 0.048904554729333236, P1: 0.3087976629694357, P2: 0.6422977823012311, TI2: 1.5892332275718977
time: 15.0, P0: 0.04850843416087968, P1: 0.30804839907408244, P2: 0.6434431667650381, TI2: 1.5907747326041584
time: 16.0, P0: 0.04829191023794028, P1: 0.3077463739949394, P2: 0.6439617157671205, TI2: 1.59150980552918
time: 17.0, P0: 0.0482505329239341, P1: 0.3075028506043338, P2: 0.6442466164717323, TI2: 1.5918360835477983
time: 18.0, P0: 0.04815278382963626, P1: 0.307555075658618, P2: 0.644292140511746, TI2: 1.5919793566821099
time: 19.0, P0: 0.04820470420974938, P1: 0.3073488032947816, P2: 0.6444464924954693, TI2: 1.59208178828572
