time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: -8.000000000000021e-05(neg)
time: 1.0, P0: 0.9825819767937052, P1: 0.015420450910897443, P2: 0.0019975722953973533, TI2: -0.0006644044983078528
time: 2.0, P0: 0.9838473297202008, P1: 0.013845223935182137, P2: 0.0023074463446169048, TI2: -0.0016198833755840555
time: 3.0, P0: 0.9847930417214764, P1: 0.012938406935776362, P2: 0.0022685513427470813, TI2: -0.002604490378729478
time: 4.0, P0: 0.9856320930129145, P1: 0.012205207379615512, P2: 0.0021626996074697725, TI2: -0.0035493934054449464
time: 5.0, P0: 0.9864117431381435, P1: 0.011539665791533392, P2: 0.0020485910703229777, TI2: -0.004443152067820656
time: 6.0, P0: 0.9871430906633094, P1: 0.010920371177704374, P2: 0.0019365381589861064, TI2: -0.005286552504323416
time: 7.0, P0: 0.9878337219397403, P1: 0.010333810542754347, P2: 0.0018324675175052155, TI2: -0.006081254422235225
time: 8.0, P0: 0.9884829344666322, P1: 0.009785617593753012, P2: 0.0017314479396147448, TI2: -0.0068314865270175
time: 9.0, P0: 0.9891005376294656, P1: 0.009256446856843325, P2: 0.0016430155136909139, TI2: -0.007537522115774849
time: 10.0, P0: 0.9896764030669152, P1: 0.008773509539613474, P2: 0.001550087393471208, TI2: -0.008206315673444112
time: 11.0, P0: 0.9902211920810996, P1: 0.008314949328120937, P2: 0.0014638585907792321, TI2: -0.008837333490320601
time: 12.0, P0: 0.9907406151951966, P1: 0.007870312613254356, P2: 0.0013890721915488236, TI2: -0.009431543003647997
time: 13.0, P0: 0.9912281056116947, P1: 0.007457775732128466, P2: 0.0013141186561766223, TI2: -0.00999398695551829
time: 14.0, P0: 0.9916899513238169, P1: 0.0070651360394992065, P2: 0.0012449126366837495, TI2: -0.010525038687133295
time: 15.0, P0: 0.9921265000568722, P1: 0.00669396946602927, P2: 0.0011795304770982804, TI2: -0.011026969579774169
time: 16.0, P0: 0.9925388096997735, P1: 0.006344024206563112, P2: 0.001117166093663127, TI2: -0.011501643606110633
time: 17.0, P0: 0.9929280239935269, P1: 0.006014700208011432, P2: 0.0010572757984615288, TI2: -0.011950748195065511
time: 18.0, P0: 0.9932985191466219, P1: 0.005697670096711268, P2: 0.0010038107566665417, TI2: -0.01237470838995565
time: 19.0, P0: 0.9936447391139263, P1: 0.0054078067304158695, P2: 0.0009474541556576932, TI2: -0.012777284958268744
time: 20.0, P0: 0.9939786224269289, P1: 0.00511878102179091, P2: 0.0009025965512799246, TI2: -0.01315602587564924
time: 21.0, P0: 0.9942874130122136, P1: 0.004862151054168121, P2: 0.0008504359336180929, TI2: -0.013516977078595694
time: 22.0, P0: 0.9945859710210672, P1: 0.004604518797863433, P2: 0.0008095101810692517, TI2: -0.013856460839998065
time: 23.0, P0: 0.994864428723258, P1: 0.00437046631481171, P2: 0.0007651049619300945, TI2: -0.014179323761328102
time: 24.0, P0: 0.9951303888870205, P1: 0.00414346039202566, P2: 0.0007261507209536666, TI2: -0.014484238166067007
time: 25.0, P0: 0.9953812971270516, P1: 0.003930741231119902, P2: 0.0006879616418283245, TI2: -0.01477333548522345
time: 26.0, P0: 0.9956199807864965, P1: 0.0037268355723961595, P2: 0.0006531836411071564, TI2: -0.01504679714538953
time: 27.0, P0: 0.9958449652968554, P1: 0.0035363031629460076, P2: 0.0006187315401983714, TI2: -0.01530623375665725
time: 28.0, P0: 0.9960593927674575, P1: 0.003352796831376484, P2: 0.0005878104011658437, TI2: -0.01555158236629183
time: 29.0, P0: 0.9962612570125289, P1: 0.003181998973104354, P2: 0.0005567440143665814, TI2: -0.015784512998162484
time: 30.0, P0: 0.9964535200626222, P1: 0.0030178678761189764, P2: 0.0005286120612585786, TI2: -0.016004908001363866
time: 31.0, P0: 0.9966357472773302, P1: 0.0028622854789204064, P2: 0.0005019672437491998, TI2: -0.016213780033581194
time: 32.0, P0: 0.996806087567697, P1: 0.002720410498556465, P2: 0.0004735019337463428, TI2: -0.016412585633950847
time: 33.0, P0: 0.9969712887447637, P1: 0.002577161373820513, P2: 0.0004515498814156108, TI2: -0.016599738863348264
time: 34.0, P0: 0.9971248630450085, P1: 0.0024484955607374393, P2: 0.0004266413942538835, TI2: -0.01677822165075479
time: 35.0, P0: 0.9972728700539937, P1: 0.0023208633050098974, P2: 0.00040626664099620063, TI2: -0.0169466034129977
time: 36.0, P0: 0.9974112995018516, P1: 0.0022043246373243145, P2: 0.0003843758608239162, TI2: -0.01710692364102785
time: 37.0, P0: 0.9975443975668887, P1: 0.0020895141645505353, P2: 0.000366088268560601, TI2: -0.017258309298328257
time: 38.0, P0: 0.9976682810177184, P1: 0.0019861237120357756, P2: 0.00034559527024564615, TI2: -0.01740268574747293
time: 39.0, P0: 0.9977888899799754, P1: 0.0018807443321198704, P2: 0.0003303656879045349, TI2: -0.017538524292071058
time: 40.0, P0: 0.997899538035446, P1: 0.0017895891511347645, P2: 0.00031087281341909045, TI2: -0.017668665222027053
time: 41.0, P0: 0.9980074947050463, P1: 0.0016960693443638882, P2: 0.0002964359505895726, TI2: -0.017791058754456964
time: 42.0, P0: 0.998108183459407, P1: 0.0016113886986015278, P2: 0.00028042784199121035, TI2: -0.01790775561741605
time: 43.0, P0: 0.998204981700659, P1: 0.0015280472505936039, P2: 0.0002669710487471477, TI2: -0.018018010651912098
time: 44.0, P0: 0.998295734956016, P1: 0.0014515125155661088, P2: 0.00025275252841762945, TI2: -0.01812298242759863
time: 45.0, P0: 0.998382912651162, P1: 0.001376371302815644, P2: 0.00024071604602212738, TI2: -0.018222196605140097
time: 46.0, P0: 0.9984645701016617, P1: 0.001307555535287466, P2: 0.0002278743630506439, TI2: -0.018316695738611243
time: 47.0, P0: 0.9985428144177845, P1: 0.0012404624349407762, P2: 0.0002167231472744573, TI2: -0.018406091270510308
time: 48.0, P0: 0.9986169715682014, P1: 0.0011770018237325043, P2: 0.00020602660806580492, TI2: -0.018490944960135883
time: 49.0, P0: 0.9986858720877632, P1: 0.0011202295136514585, P2: 0.00019389839858515289, TI2: -0.018571973689178234
time: 50.0, P0: 0.9987542479537642, P1: 0.0010593261063526218, P2: 0.0001864259398829124, TI2: -0.01864782201388155
time: 51.0, P0: 0.9988150196409603, P1: 0.001011194318627709, P2: 0.0001737860404117173, TI2: -0.018721233600548854
time: 52.0, P0: 0.9988769271598574, P1: 0.0009555721595917426, P2: 0.00016750068055059725, TI2: -0.01878942647930706
time: 53.0, P0: 0.9989323782542209, P1: 0.0009105378321234782, P2: 0.00015708391365533626, TI2: -0.018855294340565848
time: 54.0, P0: 0.9989875670800021, P1: 0.0008617809347400582, P2: 0.0001506519852575039, TI2: -0.018916915094744934
time: 55.0, P0: 0.9990380970267394, P1: 0.0008198495911129562, P2: 0.00014205338214742574, TI2: -0.018976043644592194
time: 56.0, P0: 0.9990875415561954, P1: 0.0007765636259959368, P2: 0.0001358948178084049, TI2: -0.019031646738387253
time: 57.0, P0: 0.9991329786916859, P1: 0.0007389853584535604, P2: 0.0001280359498602164, TI2: -0.019084942741826007
time: 58.0, P0: 0.9991778007989768, P1: 0.0006993383415941553, P2: 0.0001228608594288236, TI2: -0.019134939939548196
time: 59.0, P0: 0.9992183746821311, P1: 0.0006663346644498092, P2: 0.00011529065341878253, TI2: -0.019183084028712626
time: 60.0, P0: 0.9992588246689356, P1: 0.0006304596822058734, P2: 0.00011071564885830285, TI2: -0.01922810902007752
time: 61.0, P0: 0.9992958685879424, P1: 0.0005995828972458369, P2: 0.00010454851481148721, TI2: -0.019271320073131187
