time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: 0.00792
time: 1.0, P0: 0.9778984190369477, P1: 0.017169444570654058, P2: 0.004932136392398189, TI2: 0.014953717355450435
time: 2.0, P0: 0.9732350131337502, P1: 0.01944868454541084, P2: 0.007316302320838966, TI2: 0.02200128918708877
time: 3.0, P0: 0.9670196728978276, P1: 0.023604993798166864, P2: 0.009375333304005477, TI2: 0.030275660406177816
time: 4.0, P0: 0.9593124571409165, P1: 0.02898653025528987, P2: 0.011701012603793581, TI2: 0.040308555462877024
time: 5.0, P0: 0.9499246479646518, P1: 0.03557529014954281, P2: 0.014500061885805276, TI2: 0.05249541392115336
time: 6.0, P0: 0.9386016152472999, P1: 0.043490002158079244, P2: 0.01790838259462077, TI2: 0.06722676734732079
time: 7.0, P0: 0.9250713508834203, P1: 0.052875699648372465, P2: 0.02205294946820726, TI2: 0.08490159858478699
time: 8.0, P0: 0.9090419933434261, P1: 0.06394927634439163, P2: 0.027008730312182316, TI2: 0.10588673696875628
time: 9.0, P0: 0.8903530773556754, P1: 0.07663290894644295, P2: 0.03301401369788172, TI2: 0.13058093634220644
time: 10.0, P0: 0.868728740390392, P1: 0.09132105130774025, P2: 0.03995020830186763, TI2: 0.15914146791147551
time: 11.0, P0: 0.8443461482043081, P1: 0.10736974411341664, P2: 0.048284107682275285, TI2: 0.1918579594779672
time: 12.0, P0: 0.8170555974078909, P1: 0.12537840889164792, P2: 0.05756599370046122, TI2: 0.22843039629257036
time: 13.0, P0: 0.7874794204053087, P1: 0.1441677059090327, P2: 0.06835287368565862, TI2: 0.2687934532803499
time: 14.0, P0: 0.755798850117496, P1: 0.16422927054232628, P2: 0.07997187934017773, TI2: 0.3120930292226818
time: 15.0, P0: 0.7230251058933949, P1: 0.18411711540002568, P2: 0.09285777870657942, TI2: 0.35775267281318457
time: 16.0, P0: 0.68962078399866, P1: 0.20424557717063369, P2: 0.10613363883070631, TI2: 0.40443285483204633
time: 17.0, P0: 0.6568046604697225, P1: 0.2230475825064124, P2: 0.12014775702386513, TI2: 0.4512630965541427
time: 18.0, P0: 0.6250299847533273, P1: 0.2410995929456153, P2: 0.13387042230105747, TI2: 0.4967604375477303
time: 19.0, P0: 0.5953384888673426, P1: 0.2570954878834575, P2: 0.14756602324919987, TI2: 0.5401475343818573
time: 20.0, P0: 0.5679797765311334, P1: 0.27163259596242073, P2: 0.16038762750644586, TI2: 0.5803278509753125
time: 21.0, P0: 0.5434770348506618, P1: 0.28409922278509264, P2: 0.17242374236424543, TI2: 0.6168667075135836
time: 22.0, P0: 0.5218814295277139, P1: 0.2947914315356303, P2: 0.18332713893665584, TI2: 0.6493657094089421
time: 23.0, P0: 0.5031478964821914, P1: 0.30389303460449973, P2: 0.19295906891330894, TI2: 0.6777311724311177
time: 24.0, P0: 0.48724321648232943, P1: 0.3112403011060228, P2: 0.20151648241164782, TI2: 0.7021932659293184
time: 25.0, P0: 0.473736231525424, P1: 0.31760060775411075, P2: 0.20866316072046526, TI2: 0.7228469291950412
time: 26.0, P0: 0.46261233795276774, P1: 0.3224148576441943, P2: 0.21497280440303793, TI2: 0.7402804664502701
time: 27.0, P0: 0.4532765945766111, P1: 0.32674280307936343, P2: 0.21998060234402536, TI2: 0.7546240077674141
time: 28.0, P0: 0.4457740849236661, P1: 0.32980214775058236, P2: 0.22442376732575156, TI2: 0.7665696824020855
time: 29.0, P0: 0.43951301275870247, P1: 0.33268329084459225, P2: 0.22780369639670525, TI2: 0.7762106836380028
time: 30.0, P0: 0.4345679303793601, P1: 0.33461411666569896, P2: 0.230817952954941, TI2: 0.784170022575581
time: 31.0, P0: 0.43046404391091936, P1: 0.3364738078409834, P2: 0.23306214824809726, TI2: 0.790518104337178
time: 32.0, P0: 0.4272455095636157, P1: 0.3377132637923872, P2: 0.23504122664399715, TI2: 0.7957157170803815
time: 33.0, P0: 0.4245955915779119, P1: 0.33888993397846967, P2: 0.23651447444361848, TI2: 0.7998388828657066
time: 34.0, P0: 0.42252171687248363, P1: 0.33968463273502236, P2: 0.23779365039249403, TI2: 0.8031919335200104
time: 35.0, P0: 0.4208173685353884, P1: 0.34044767562535255, P2: 0.23873495583925905, TI2: 0.8058375873038706
time: 36.0, P0: 0.4194966424458131, P1: 0.3409368395650275, P2: 0.23956651798915943, TI2: 0.8079898755433463
time: 37.0, P0: 0.41840126101419134, P1: 0.3414450285782942, P2: 0.2401537104075145, TI2: 0.8096724493933232
time: 38.0, P0: 0.4175638393222004, P1: 0.34174514925877625, P2: 0.24069101141902335, TI2: 0.8110471720968229
time: 39.0, P0: 0.41687162528455923, P1: 0.34205549726740864, P2: 0.24107287744803216, TI2: 0.812121252163473
