time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: -7.999999999999674e-05
time: 1.0, P0: 0.9810346679079328, P1: 0.01436483953624734, P2: 0.004600492555819933, TI2: 0.0034858246478872094
time: 2.0, P0: 0.9799355902881648, P1: 0.014475055374077879, P2: 0.005589354337757395, TI2: 0.005573764049592673
time: 3.0, P0: 0.9784572437879648, P1: 0.0154377374885095, P2: 0.006105018723525615, TI2: 0.007567774935560732
time: 4.0, P0: 0.9768387428799506, P1: 0.016577085757977075, P2: 0.006584171362072296, TI2: 0.009665428482121671
time: 5.0, P0: 0.9751075515478975, P1: 0.017806358762926147, P2: 0.007086089689176348, TI2: 0.011898538141278848
time: 6.0, P0: 0.9732607044352524, P1: 0.019123648488046367, P2: 0.00761564707670127, TI2: 0.014274942641448914
time: 7.0, P0: 0.9713060955199124, P1: 0.020497066115249412, P2: 0.00819683836483818, TI2: 0.016810742844925772
time: 8.0, P0: 0.9692101869564608, P1: 0.02201047729415373, P2: 0.008779335749385487, TI2: 0.019489148792924703
time: 9.0, P0: 0.9670086373474445, P1: 0.023555601910312012, P2: 0.009435760742243608, TI2: 0.02234712339479923
time: 10.0, P0: 0.9646628827417562, P1: 0.02523153780958931, P2: 0.010105579448654615, TI2: 0.025362696706898544
time: 11.0, P0: 0.9621953639020765, P1: 0.0269683564030901, P2: 0.01083627969483352, TI2: 0.02856091579275714
time: 12.0, P0: 0.9595894462959136, P1: 0.028806000635635907, P2: 0.011604553068450641, TI2: 0.03193510677253719
time: 13.0, P0: 0.9568370070716471, P1: 0.03076195379721642, P2: 0.012401039131136608, TI2: 0.035484032059489634
time: 14.0, P0: 0.9539660208418295, P1: 0.032754541720113314, P2: 0.013279437438057373, TI2: 0.03923341659622806
time: 15.0, P0: 0.9509143348968738, P1: 0.03495486761477282, P2: 0.014130797488353488, TI2: 0.043136462591479796
time: 16.0, P0: 0.9477619498146137, P1: 0.03713969343292198, P2: 0.01509835675246445, TI2: 0.047256406937850874
time: 17.0, P0: 0.9444455931422888, P1: 0.03948708060984293, P2: 0.01606732624786837, TI2: 0.05154173310557967
time: 18.0, P0: 0.9410039905457259, P1: 0.04189296680438814, P2: 0.01710304264988605, TI2: 0.05601905210416024
time: 19.0, P0: 0.937431314261501, P1: 0.044379784844341096, P2: 0.01818890089415809, TI2: 0.06067758663265727
time: 20.0, P0: 0.9337106621301052, P1: 0.04700331356522448, P2: 0.01928602430467039, TI2: 0.06549536217456527
time: 21.0, P0: 0.929901436150889, P1: 0.0496090236676047, P2: 0.020489540181506272, TI2: 0.07050810403061725
time: 22.0, P0: 0.9259084432100843, P1: 0.052476208430323405, P2: 0.021615348359592466, TI2: 0.07562690514950834
time: 23.0, P0: 0.9218746729291767, P1: 0.055222238021954966, P2: 0.022903089048868397, TI2: 0.08094841611969177
time: 24.0, P0: 0.9177061926584309, P1: 0.05812802023913625, P2: 0.024165787102432938, TI2: 0.08637959444400213
time: 25.0, P0: 0.9134507346066228, P1: 0.06108162686781647, P2: 0.02546763852556077, TI2: 0.09193690391893802
time: 26.0, P0: 0.9091340790034468, P1: 0.06403460513651096, P2: 0.026831315860042393, TI2: 0.09761723685659576
time: 27.0, P0: 0.9047209889361653, P1: 0.06711095196841897, P2: 0.028168059095415882, TI2: 0.10336707015925074
time: 28.0, P0: 0.9003011526111946, P1: 0.07008760763252077, P2: 0.029611239756284765, TI2: 0.1092300871450903
time: 29.0, P0: 0.8957618200989306, P1: 0.07330844559599667, P2: 0.030929734305072815, TI2: 0.11508791420614231
time: 30.0, P0: 0.8912728798191092, P1: 0.07632895985164682, P2: 0.03239816032924412, TI2: 0.12104528051013508
time: 31.0, P0: 0.8867537824010904, P1: 0.07940503678463245, P2: 0.033841180814277366, TI2: 0.1270073984131872
time: 32.0, P0: 0.8822236953514767, P1: 0.08251442275689731, P2: 0.03526188189162608, TI2: 0.13295818654014946
time: 33.0, P0: 0.8777354903959774, P1: 0.08554057392839529, P2: 0.0367239356756274, TI2: 0.13890844527965007
time: 34.0, P0: 0.8732695904811816, P1: 0.08856904249382662, P2: 0.03816136702499189, TI2: 0.14481177654381042
time: 35.0, P0: 0.8688497444528552, P1: 0.09156347484695497, P2: 0.039586780700189915, TI2: 0.1506570362473348
time: 36.0, P0: 0.8644772325077246, P1: 0.09454908974646901, P2: 0.040973677745806514, TI2: 0.15641644523808204
time: 37.0, P0: 0.8601827826801174, P1: 0.09746725375927257, P2: 0.04234996356061016, TI2: 0.1620871808804929
time: 38.0, P0: 0.8560097404877989, P1: 0.1002220822597188, P2: 0.043768177252482436, TI2: 0.1676784367646837
time: 39.0, P0: 0.8519097644184708, P1: 0.10297220648068096, P2: 0.04511802910084833, TI2: 0.17312826468237763
