time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: 0.009899999999999999
time: 1.0, P0: 0.9718721441267721, P1: 0.02439877729867822, P2: 0.003729078574549668, TI2: 0.021756934447777553
time: 2.0, P0: 0.9583464327597888, P1: 0.034107447312778566, P2: 0.007546119927432596, TI2: 0.03909968716764377
time: 3.0, P0: 0.9376203913811046, P1: 0.049862735702504046, P2: 0.012516872916391301, TI2: 0.06479648153528664
time: 4.0, P0: 0.9070780575802633, P1: 0.07317403828169741, P2: 0.01974790413803932, TI2: 0.10256984655777598
time: 5.0, P0: 0.8636038531769408, P1: 0.10578397908165046, P2: 0.030612167741408736, TI2: 0.15690831456446797
time: 6.0, P0: 0.8042891763727568, P1: 0.14863932262521956, P2: 0.04707150100202362, TI2: 0.23268232462926686
time: 7.0, P0: 0.7277168355259445, P1: 0.2010809898167964, P2: 0.07120217465725913, TI2: 0.3333853391313147
time: 8.0, P0: 0.6359970764273531, P1: 0.2584619080014625, P2: 0.10554101557118425, TI2: 0.45944393914383114
time: 9.0, P0: 0.5353466339300528, P1: 0.313705407492553, P2: 0.1509479585773942, TI2: 0.6055013246473414
time: 10.0, P0: 0.43551523332148556, P1: 0.35855218580347026, P2: 0.20593258087504418, TI2: 0.7603173475535587
time: 11.0, P0: 0.3460352159998928, P1: 0.3882626814914096, P2: 0.26570210250869764, TI2: 0.9095668865088048
time: 12.0, P0: 0.27372064734471996, P1: 0.4013790928150735, P2: 0.3249002598402065, TI2: 1.0410796124954864
time: 13.0, P0: 0.2190534410527357, P1: 0.4044340840250738, P2: 0.37651247492219053, TI2: 1.1473590338694546
time: 14.0, P0: 0.18069550632888884, P1: 0.40058343640944283, P2: 0.41872105726166836, TI2: 1.2279255509327793
time: 15.0, P0: 0.1545788137874305, P1: 0.39505018505180517, P2: 0.45037100116076434, TI2: 1.2856921873733336
time: 16.0, P0: 0.1373263438321571, P1: 0.3896667914832089, P2: 0.4730068646846341, TI2: 1.325580520852477
time: 17.0, P0: 0.12620915213907347, P1: 0.3850500221756188, P2: 0.4887408256853078, TI2: 1.3524316735462343
