time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: 0.013859999999999997
time: 1.0, P0: 0.9654630947900826, P1: 0.03026086050612425, P2: 0.004276044703793053, TI2: 0.03267294991371036
time: 2.0, P0: 0.9374098001959346, P1: 0.052322842454957996, P2: 0.010267357349107407, TI2: 0.06671755715317282
time: 3.0, P0: 0.8874070461368002, P1: 0.09175567175921018, P2: 0.02083728210398949, TI2: 0.12729023596718914
time: 4.0, P0: 0.804679349281363, P1: 0.15435441936280347, P2: 0.040966231355833424, TI2: 0.23014688207447023
time: 5.0, P0: 0.682215043331409, P1: 0.23930002033153047, P2: 0.07848493633706037, TI2: 0.39012989300565115
time: 6.0, P0: 0.5281273083790704, P1: 0.3291648103552766, P2: 0.14270788126565292, TI2: 0.6084405728865825
time: 7.0, P0: 0.3716239534549034, P1: 0.39271314334311386, P2: 0.23566290320198263, TI2: 0.857898949747079
time: 8.0, P0: 0.24479776167898487, P1: 0.41346520737756737, P2: 0.34173703094344765, TI2: 1.0907992692644628
time: 9.0, P0: 0.16103038882132453, P1: 0.4014152289240408, P2: 0.43755438225463456, TI2: 1.27038399343331
time: 10.0, P0: 0.11303654585846741, P1: 0.37854037833618964, P2: 0.5084230758053429, TI2: 1.3892465299468755
time: 11.0, P0: 0.08752165319693957, P1: 0.35881308196956063, P2: 0.5536652648334996, TI2: 1.46000361163656
time: 12.0, P0: 0.07438664432225191, P1: 0.3456394166372243, P2: 0.5799739390405237, TI2: 1.4994472947182718
time: 13.0, P0: 0.06766915099303536, P1: 0.3379048635749427, P2: 0.5944259854320219, TI2: 1.5206168344389865
time: 14.0, P0: 0.06420962443714787, P1: 0.3336870726485424, P2: 0.6021033029143097, TI2: 1.531753678477162
time: 15.0, P0: 0.062483211511737864, P1: 0.33136338143989674, P2: 0.6061534070483654, TI2: 1.5375301955366276
time: 16.0, P0: 0.0615686939046688, P1: 0.33019200222998846, P2: 0.6082393038653429, TI2: 1.5405306099606741
time: 17.0, P0: 0.0611236585580723, P1: 0.3295571583911287, P2: 0.609319183050799, TI2: 1.5420555244927268
time: 18.0, P0: 0.06084974260066655, P1: 0.32930661778737785, P2: 0.6098436396119556, TI2: 1.5428538970112893
time: 19.0, P0: 0.06081618700737363, P1: 0.3289568229365509, P2: 0.6102269900560755, TI2: 1.5432708030487021
time: 20.0, P0: 0.06065586933452294, P1: 0.32910254106375497, P2: 0.6102415896017221, TI2: 1.5434457202671994
time: 21.0, P0: 0.06072856297844527, P1: 0.3287972246265378, P2: 0.610474212395017, TI2: 1.543605649416572
time: 22.0, P0: 0.060598989409423036, P1: 0.32905239823216886, P2: 0.6103486123584083, TI2: 1.5436096229489855
time: 23.0, P0: 0.060697550580208544, P1: 0.32877322581120433, P2: 0.6105292236085873, TI2: 1.543691673028379
time: 24.0, P0: 0.06060446021182038, P1: 0.328987148707768, P2: 0.6104083910804117, TI2: 1.5436639308685915
time: 25.0, P0: 0.06067124740427522, P1: 0.32881170095901535, P2: 0.6105170516367097, TI2: 1.5437058042324348
time: 26.0, P0: 0.060632924407592624, P1: 0.3289023421720403, P2: 0.6104647334203673, TI2: 1.5436918090127751
time: 27.0, P0: 0.06065977651679966, P1: 0.32883303066409575, P2: 0.6105071928191048, TI2: 1.5437074163023057
time: 28.0, P0: 0.0606337886812095, P1: 0.32889643103125293, P2: 0.6104697802875378, TI2: 1.5436959916063289
time: 29.0, P0: 0.060657145149461286, P1: 0.32883764214386363, P2: 0.6105052127066753, TI2: 1.5437080675572146
time: 30.0, P0: 0.06062247319298064, P1: 0.32892358963804635, P2: 0.6104539371689733, TI2: 1.543691463975993
time: 31.0, P0: 0.060651234244902305, P1: 0.3288518353395366, P2: 0.6104969304155614, TI2: 1.5437056961706597
time: 32.0, P0: 0.06062006393324811, P1: 0.3289293196631787, P2: 0.6104506164035736, TI2: 1.543690552470326
time: 33.0, P0: 0.06063303834911507, P1: 0.32889698416340385, P2: 0.6104699774874814, TI2: 1.5436969391383668
time: 34.0, P0: 0.06065032197443849, P1: 0.3288539425940147, P2: 0.6104957354315472, TI2: 1.5437054134571093
time: 35.0, P0: 0.06060063960756378, P1: 0.32897758475990346, P2: 0.6104217756325331, TI2: 1.5436811360249698
