time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: 0.003919999999999998
time: 1.0, P0: 0.978965444009703, P1: 0.018398567169325735, P2: 0.002635988820971151, TI2: 0.007590544811268037
time: 2.0, P0: 0.9765466500569032, P1: 0.0195937631277694, P2: 0.0038595868153272752, TI2: 0.011232936758423948
time: 3.0, P0: 0.9734086346910543, P1: 0.021904405140679515, P2: 0.004686960168266058, TI2: 0.01519832547721163
time: 4.0, P0: 0.9697340490269075, P1: 0.024814335067361703, P2: 0.005451615905730731, TI2: 0.019637566878823166
time: 5.0, P0: 0.9655470849955543, P1: 0.028186957534176306, P2: 0.006265957470269258, TI2: 0.024638872474714822
time: 6.0, P0: 0.9608184850436265, P1: 0.03201120002671983, P2: 0.007170314929653513, TI2: 0.03027182988602685
time: 7.0, P0: 0.9555076374169815, P1: 0.036300541391818784, P2: 0.00819182119119968, TI2: 0.03660418377421814
time: 8.0, P0: 0.9495672475699497, P1: 0.04108313844320618, P2: 0.009349613986844071, TI2: 0.043702366416894324
time: 9.0, P0: 0.9429457497293033, P1: 0.046398596578890686, P2: 0.010655653691806004, TI2: 0.05162990396250269
time: 10.0, P0: 0.9355865532530139, P1: 0.05230198798307678, P2: 0.012111458763909285, TI2: 0.06044490551089535
time: 11.0, P0: 0.9274808727069663, P1: 0.0587391290734461, P2: 0.013779998219587503, TI2: 0.0702191255126211
time: 12.0, P0: 0.9185549202923419, P1: 0.06582519858888615, P2: 0.015619881118771932, TI2: 0.08098496082643003
time: 13.0, P0: 0.9087842951427119, P1: 0.07357016181048805, P2: 0.01764554304680007, TI2: 0.0927812479040882
time: 14.0, P0: 0.8982369136704187, P1: 0.08178006460840333, P2: 0.01998302172117799, TI2: 0.10566610805075934
time: 15.0, P0: 0.8867926154517545, P1: 0.09074370156745643, P2: 0.022463682980789074, TI2: 0.11959106752903459
time: 16.0, P0: 0.874551443770133, P1: 0.10024359889513562, P2: 0.02520495733473127, TI2: 0.13457351356459818
time: 17.0, P0: 0.8616079726553904, P1: 0.11010956442485997, P2: 0.028282462919749618, TI2: 0.15059449026435923
time: 18.0, P0: 0.8478631889695014, P1: 0.12067885365286983, P2: 0.03145795737762876, TI2: 0.16751476840812737
time: 19.0, P0: 0.833596833449196, P1: 0.13140412388149378, P2: 0.03499904266931021, TI2: 0.18532220922011422
time: 20.0, P0: 0.8187765138287054, P1: 0.142534412812631, P2: 0.038689073358663555, TI2: 0.2038325595299581
time: 21.0, P0: 0.8035956634178453, P1: 0.15380199857995272, P2: 0.04260233800220198, TI2: 0.2229266745843567
time: 22.0, P0: 0.788225180505434, P1: 0.16502103292601883, P2: 0.046753786568547194, TI2: 0.24244860606311322
time: 23.0, P0: 0.7726838165720885, P1: 0.17639677747479324, P2: 0.0509194059531182, TI2: 0.2621555893810297
time: 24.0, P0: 0.7573431631199792, P1: 0.1872840703290201, P2: 0.055372766551000714, TI2: 0.28194960343102154
time: 25.0, P0: 0.7420982936058702, P1: 0.1982005718936674, P2: 0.05970113450046232, TI2: 0.301522840894592
time: 26.0, P0: 0.7273086437796218, P1: 0.20852083386498033, P2: 0.06417052235539783, TI2: 0.320781878575776
time: 27.0, P0: 0.7130129547127093, P1: 0.21838245324487995, P2: 0.06860459204241069, TI2: 0.3395116373297013
time: 28.0, P0: 0.6992450233075834, P1: 0.22790833080684875, P2: 0.0728466458855678, TI2: 0.3575216225779843
time: 29.0, P0: 0.6863281672208162, P1: 0.23648022443200611, P2: 0.07719160834717766, TI2: 0.3747834411263614
time: 30.0, P0: 0.6739921170782475, P1: 0.24489446066297216, P2: 0.08111342225878039, TI2: 0.39104130518053287
time: 31.0, P0: 0.6626224506420626, P1: 0.2523054760028601, P2: 0.08507207335507731, TI2: 0.40636962271301463
time: 32.0, P0: 0.6520126352380189, P1: 0.2592792719971758, P2: 0.08870809276480528, TI2: 0.42061545752678636
time: 33.0, P0: 0.6422292494431601, P1: 0.26567900176624976, P2: 0.09209174879059025, TI2: 0.4337824993474302
time: 34.0, P0: 0.6334083679167566, P1: 0.27116758426396953, P2: 0.09542404781927402, TI2: 0.44593567990251753
time: 35.0, P0: 0.6251898515855022, P1: 0.2765967893233258, P2: 0.09821335909117203, TI2: 0.4569435075056698
time: 36.0, P0: 0.6179434862336842, P1: 0.28101043180005486, P2: 0.10104608196626101, TI2: 0.4670225957325768
time: 37.0, P0: 0.6113134877996452, P1: 0.2852137217790575, P2: 0.10347279042129737, TI2: 0.4760793026216522
time: 38.0, P0: 0.6053531291297927, P1: 0.28899840085509515, P2: 0.10564847001511232, TI2: 0.48421534088531976
time: 39.0, P0: 0.6001943462085206, P1: 0.29195686709259433, P2: 0.10784878669888513, TI2: 0.4915744404903646
time: 40.0, P0: 0.595358579061755, P1: 0.29517346736974415, P2: 0.10946795356850088, TI2: 0.4980293745067459
time: 41.0, P0: 0.591270083397876, P1: 0.29751974505580797, P2: 0.11121017154631607, TI2: 0.5038600881484401
time: 42.0, P0: 0.587580088381767, P1: 0.29976327352676724, P2: 0.11265663809146588, TI2: 0.5089965497096989
time: 43.0, P0: 0.5842464975041862, P1: 0.30192300558163093, P2: 0.11383049691418297, TI2: 0.5135039994099968
time: 44.0, P0: 0.5815184592254771, P1: 0.3033086207783256, P2: 0.11517291999619744, TI2: 0.5175744607707203
time: 45.0, P0: 0.5788643189468099, P1: 0.3051487854119818, P2: 0.11598689564120838, TI2: 0.5210425766943985
time: 46.0, P0: 0.576711492341232, P1: 0.3063266670641279, P2: 0.11696184059464021, TI2: 0.5241703482534081
time: 47.0, P0: 0.5747937515962831, P1: 0.30743174988109245, P2: 0.11777449852262455, TI2: 0.5269007469263414
time: 48.0, P0: 0.573003614037675, P1: 0.3086699457540979, P2: 0.11832644020822722, TI2: 0.5292428261705522
time: 49.0, P0: 0.571658028360961, P1: 0.30921212157032296, P2: 0.11912985006871613, TI2: 0.531391821707755
time: 50.0, P0: 0.5702370339057977, P1: 0.3102864924716823, P2: 0.11947647362251998, TI2: 0.5331594397167221
time: 51.0, P0: 0.5691479113814661, P1: 0.31085249987493635, P2: 0.1199995887435975, TI2: 0.5347716773621312
time: 52.0, P0: 0.5682114175757288, P1: 0.311312457575264, P2: 0.1204761248490072, TI2: 0.5361847072732783
time: 53.0, P0: 0.5672337299291468, P1: 0.31210860057304585, P2: 0.12065766949780737, TI2: 0.5373439395686604
time: 54.0, P0: 0.566629216159179, P1: 0.31219545303570495, P2: 0.12117533080511594, TI2: 0.5384661146459367
time: 55.0, P0: 0.565867862886197, P1: 0.31284705469374197, P2: 0.12128508242006099, TI2: 0.5393372195338638
time: 56.0, P0: 0.5653150311630957, P1: 0.3131445705976602, P2: 0.12154039823924406, TI2: 0.5401453670761482
time: 57.0, P0: 0.564903181434401, P1: 0.3132336570650684, P2: 0.12186316150053061, TI2: 0.5408799800661295
time: 58.0, P0: 0.5643412664693901, P1: 0.31381061707066, P2: 0.12184811645994988, TI2: 0.5414268499905596
time: 59.0, P0: 0.5641008785635899, P1: 0.3137033862499922, P2: 0.12219573518641783, TI2: 0.5420148566228277
time: 60.0, P0: 0.5636868211750407, P1: 0.31411311700999517, P2: 0.1222000618149642, TI2: 0.5424332406399234
time: 61.0, P0: 0.5634038295297326, P1: 0.31428059510234496, P2: 0.12231557536792252, TI2: 0.5428317458381898
time: 62.0, P0: 0.5632480487054445, P1: 0.31420500306299287, P2: 0.12254694823156263, TI2: 0.543218899526118
time: 63.0, P0: 0.5629011380818564, P1: 0.31465822843650854, P2: 0.12244063348163516, TI2: 0.5434594953997787
time: 64.0, P0: 0.562841090819576, P1: 0.31445999545331693, P2: 0.12269891372710708, TI2: 0.543777822907531
time: 65.0, P0: 0.5626060626130733, P1: 0.3147363532134817, P2: 0.12265758417344494, TI2: 0.5439715215603714
time: 66.0, P0: 0.5624466515805078, P1: 0.31486667852616024, P2: 0.12268666989333195, TI2: 0.544160018312824
time: 67.0, P0: 0.562443068451127, P1: 0.314649050456287, P2: 0.12290788109258598, TI2: 0.5443848126414588
time: 68.0, P0: 0.5621868271348076, P1: 0.31508097833696946, P2: 0.1227321945282229, TI2: 0.5444653673934151
time: 69.0, P0: 0.5622118919683456, P1: 0.31484875819939173, P2: 0.12293934983226261, TI2: 0.5446474578639168
time: 70.0, P0: 0.5620864656915734, P1: 0.3150081746148268, P2: 0.12290535969359992, TI2: 0.5447388940020265
time: 71.0, P0: 0.5619715768443473, P1: 0.3151612803094229, P2: 0.1228671428462298, TI2: 0.5448155660018823
time: 72.0, P0: 0.562043010782246, P1: 0.31487429973323916, P2: 0.12308268948451483, TI2: 0.5449596787022687
time: 73.0, P0: 0.5618430394782215, P1: 0.3152678097838814, P2: 0.12288915073789712, TI2: 0.5449661112596754
time: 74.0, P0: 0.5618965519797772, P1: 0.31505231891948265, P2: 0.12305112910074012, TI2: 0.5450745771209626
time: 75.0, P0: 0.5618258883581814, P1: 0.31515253873621263, P2: 0.12302157290560602, TI2: 0.5451156845474244
time: 76.0, P0: 0.5617387377518365, P1: 0.31530285089096893, P2: 0.1229584113571947, TI2: 0.5451396736053581
time: 77.0, P0: 0.561840352293265, P1: 0.31499849120446494, P2: 0.12316115650227008, TI2: 0.5452408042090049
time: 78.0, P0: 0.5616688620503928, P1: 0.3153713337722067, P2: 0.1229598041774004, TI2: 0.5452109421270073
time: 79.0, P0: 0.5617356657408192, P1: 0.31516594993402997, P2: 0.12309838432515069, TI2: 0.5452827185843311
time: 80.0, P0: 0.5617077419004846, P1: 0.31519841062808474, P2: 0.12309384747143068, TI2: 0.5453061055709458
time: 81.0, P0: 0.5616128342014209, P1: 0.31539994585891434, P2: 0.12298721993966456, TI2: 0.5452943857382432
time: 82.0, P0: 0.5617491488438193, P1: 0.3150384124071563, P2: 0.12321243874902432, TI2: 0.5453832899052047
time: 83.0, P0: 0.5615907836206759, P1: 0.3154033214512875, P2: 0.12300589492803646, TI2: 0.5453351113073601
time: 84.0, P0: 0.5616480785868465, P1: 0.3152423236668511, P2: 0.12310959774630233, TI2: 0.5453815191594554
