time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: -0.00408(neg)
time: 1.0, P0: 0.9855948677142362, P1: 0.012887780376036979, P2: 0.0015173519097268036, TI2: -0.008157515804509413
time: 2.0, P0: 0.988932653216721, P1: 0.009674067077966952, P2: 0.0013932797053120716, TI2: -0.011619373511408905
time: 3.0, P0: 0.9913866815712129, P1: 0.00749927064996301, P2: 0.0011140477788240631, TI2: -0.014352633792388865
time: 4.0, P0: 0.993278159938631, P1: 0.005849882270770843, P2: 0.0008719577905980787, TI2: -0.016486202148033
time: 5.0, P0: 0.9947498634885465, P1: 0.004569969707228194, P2: 0.0006801668042252404, TI2: -0.018149696684321325
time: 6.0, P0: 0.9958976255536316, P1: 0.0035719391975542877, P2: 0.0005304352488140412, TI2: -0.01944719030481763
time: 7.0, P0: 0.9967952440531322, P1: 0.0027889418408116686, P2: 0.00041581410605601285, TI2: -0.020459429947076307
time: 8.0, P0: 0.9974932340616642, P1: 0.002184066439132293, P2: 0.0003226994992035011, TI2: -0.021250534562460708
time: 9.0, P0: 0.9980403920855393, P1: 0.0017071487066564741, P2: 0.00025245920780423824, TI2: -0.02186793287773505
time: 10.0, P0: 0.9984671924507962, P1: 0.001336263898919436, P2: 0.00019654365028437187, TI2: -0.022350648800511824
time: 11.0, P0: 0.9988019391051733, P1: 0.001043715120196486, P2: 0.0001543457746302007, TI2: -0.022727593330543118
time: 12.0, P0: 0.999063314883827, P1: 0.0008157200958640855, P2: 0.0001209650203089176, TI2: -0.02302234986351808
time: 13.0, P0: 0.999266917741091, P1: 0.0006391717740942464, P2: 9.391048481480129e-05, TI2: -0.023253007256276152
time: 14.0, P0: 0.9994273692138942, P1: 0.0004982676850679294, P2: 7.436310103786363e-05, TI2: -0.023433006112856345
time: 15.0, P0: 0.9995510984358935, P1: 0.000392068215513861, P2: 5.683334859269135e-05, TI2: -0.023574265087300757
time: 16.0, P0: 0.9996499721715763, P1: 0.00030417998841082814, P2: 4.584784001289469e-05, TI2: -0.023684124331563385
time: 17.0, P0: 0.999725182489585, P1: 0.00024029452702092584, P2: 3.452298339410086e-05, TI2: -0.023770659506190873
time: 18.0, P0: 0.9997855117325061, P1: 0.00018687783140627592, P2: 2.7610436087667254e-05, TI2: -0.02383790129641839
time: 19.0, P0: 0.999832255752761, P1: 0.0001461113650473807, P2: 2.163288219153931e-05, TI2: -0.02389062287056954
time: 20.0, P0: 0.9998682226618462, P1: 0.00011558980440529528, P2: 1.6187533748527678e-05, TI2: -0.02393203512809765
time: 21.0, P0: 0.9998974735011456, P1: 8.915113624478309e-05, P2: 1.3375362609670316e-05, TI2: -0.023964098138535877
time: 22.0, P0: 0.9999196598974469, P1: 7.006156760421402e-05, P2: 1.0278534948917482e-05, TI2: -0.023989381362497952
time: 23.0, P0: 0.9999370285533812, P1: 5.50968145821439e-05, P2: 7.87463203669136e-06, TI2: -0.024009153921344475
time: 24.0, P0: 0.9999512441414415, P1: 4.194630276113731e-05, P2: 6.809555797294163e-06, TI2: -0.024024434585644277
time: 25.0, P0: 0.9999609938235198, P1: 3.4803416885129985e-05, P2: 4.20275959505921e-06, TI2: -0.024036791063924756
time: 26.0, P0: 0.9999705071667868, P1: 2.4885770430124756e-05, P2: 4.607062783098254e-06, TI2: -0.02404590010400368
time: 27.0, P0: 0.9999756705086601, P1: 2.2356533201162074e-05, P2: 1.97295813872542e-06, TI2: -0.024053697550521388
time: 28.0, P0: 0.9999817322244208, P1: 1.5735579110209447e-05, P2: 2.5321964690821333e-06, TI2: -0.02405920002795163
time: 29.0, P0: 0.9999855414597905, P1: 1.2696495391599855e-05, P2: 1.7620448180110292e-06, TI2: -0.02406377941497238
time: 30.0, P0: 0.9999883931964672, P1: 1.0612951422620314e-05, P2: 9.93852110327383e-07, TI2: -0.024067399344356727
time: 31.0, P0: 0.999991372013306, P1: 7.2661232479843225e-06, P2: 1.3618634460825268e-06, TI2: -0.024070010149859856
time: 32.0, P0: 0.9999929585230367, P1: 6.354835211891245e-06, P2: 6.86641751544896e-07, TI2: -0.024072271881285023
time: 33.0, P0: 0.9999946868928715, P1: 4.523474768477938e-06, P2: 7.896323601199992e-07, TI2: -0.024073897260511287
time: 34.0, P0: 0.9999959173489237, P1: 3.3698030083212997e-06, P2: 7.12848068153854e-07, TI2: -0.024075204500855377
time: 35.0, P0: 0.9999964325778857, P1: 3.494035450449557e-06, P2: 7.338666393632568e-08, TI2: -0.024076359191221683
time: 36.0, P0: 0.9999977382345402, P1: 1.5193842839935502e-06, P2: 7.423811760464258e-07, TI2: -0.024076995853363918
time: 37.0, P0: 0.9999972143932224, P1: 3.5214135580145585e-06, P2: -7.358067802917348e-07,(neg) TI2: -0.024077950200002574
time: 38.0, P0: 0.9999985658360133, P1: 1.044934885205201e-06, P2: 3.892291016512956e-07, TI2: -0.024078176606911496
time: 39.0, P0: 0.9999986541724003, P1: 1.331474752715293e-06, P2: 1.4352847257159015e-08, TI2: -0.024078639819552775
time: 40.0, P0: 0.9999988117030332, P1: 1.352640509275439e-06, P2: -1.6434354224379123e-07, TI2: -0.024078976046575218
time: 41.0, P0: 0.9999994970934726, P1: 7.88523588394308e-08, P2: 4.2405416877639275e-07, TI2: -0.024079073039303615
time: 42.0, P0: 0.9999990336381361, P1: 1.376829903206157e-06, P2: -4.10468039131653e-07, TI2: -0.024079444106175064
time: 43.0, P0: 0.9999999667824003, P1: -5.818357870594452e-07,(neg) P2: 6.150533869044437e-07, TI2: -0.024079351729013255
time: 44.0, P0: 0.999999134137238, P1: 1.472660912714348e-06, P2: -6.06798150428909e-07, TI2: -0.024079740935388148
time: 45.0, P0: 0.9999996397194105, P1: 4.2428355269386605e-07, P2: -6.400296299821614e-08, TI2: -0.024079703722373308
time: 46.0, P0: 0.999999861478415, P1: 2.9623506731563757e-09, P2: 1.3555923444382245e-07, TI2: -0.024079725919180443
time: 47.0, P0: 0.9999995115456131, P1: 8.747673411508236e-07, P2: -3.8631295408641244e-07, TI2: -0.024079897858567026
time: 48.0, P0: 1.0000000635015678, P1: -3.3849733756173647e-07, P2: 2.749957699053895e-07, TI2: -0.024079788505797756
time: 49.0, P0: 0.9999996642496187, P1: 6.198894228576236e-07, P2: -2.8413904145039094e-07, TI2: -0.02407994838866005
time: 50.0, P0: 0.9999998463359491, P1: 2.3477278671532284e-07, P2: -8.11087356952605e-08, TI2: -0.024079927444684682
