time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: 0.009919999999999998
time: 1.0, P0: 0.9773985790943193, P1: 0.016616701434778936, P2: 0.005984719470901891, TI2: 0.018506140376582717
time: 2.0, P0: 0.9717020754639483, P1: 0.01936094446085166, P2: 0.00893698007520004, TI2: 0.027154904611251737
time: 3.0, P0: 0.9640035068653733, P1: 0.024277301726750543, P2: 0.011719191407876167, TI2: 0.037635684542502885
time: 4.0, P0: 0.9542286254953936, P1: 0.030726198190913954, P2: 0.015045176313692631, TI2: 0.05073655081829921
time: 5.0, P0: 0.9420181351497517, P1: 0.038791929132286004, P2: 0.019189935717962327, TI2: 0.06709180056821065
time: 6.0, P0: 0.9269474084290656, P1: 0.04866492767310862, P2: 0.02438766389782588, TI2: 0.08736025546876039
time: 7.0, P0: 0.9085426797511768, P1: 0.060663769790950416, P2: 0.030793550457872937, TI2: 0.1121708707066963
time: 8.0, P0: 0.8864703707231824, P1: 0.07477438340464249, P2: 0.038755245872175235, TI2: 0.142204875148993
time: 9.0, P0: 0.8603237317751686, P1: 0.09145047044741474, P2: 0.0482257977774167, TI2: 0.17782206600224815
time: 10.0, P0: 0.8302301472698373, P1: 0.10998605717510683, P2: 0.05978379555505596, TI2: 0.21947364828521876
time: 11.0, P0: 0.7960988697897917, P1: 0.13097769939320308, P2: 0.07292343081700538, TI2: 0.2667445610272139
time: 12.0, P0: 0.7588350272508055, P1: 0.15284770163238373, P2: 0.08831727111681091, TI2: 0.31940224386600563
time: 13.0, P0: 0.7189458447330821, P1: 0.17608306660650122, P2: 0.1049710886604169, TI2: 0.3759452439273351
time: 14.0, P0: 0.6779794821561215, P1: 0.1988080964194179, P2: 0.12321242142446086, TI2: 0.4351529392683397
time: 15.0, P0: 0.637097445025856, P1: 0.22079866460205044, P2: 0.14210389037209376, TI2: 0.494926445346238
time: 16.0, P0: 0.5976603084506997, P1: 0.24130931039766731, P2: 0.16103038115163312, TI2: 0.5532900727009336
time: 17.0, P0: 0.5610544799193862, P1: 0.25915572955144556, P2: 0.17978979052916838, TI2: 0.6086553106097824
time: 18.0, P0: 0.5277442211626806, P1: 0.27525823192241267, P2: 0.19699754691490684, TI2: 0.6591733257522263
time: 19.0, P0: 0.49862809965610494, P1: 0.28832270444757696, P2: 0.21304919589631824, TI2: 0.7043410962402135
time: 20.0, P0: 0.47357622447928105, P1: 0.2993138058405001, P2: 0.22710996968021896, TI2: 0.7434537452009381
time: 21.0, P0: 0.45250571975013965, P1: 0.3083100642416788, P2: 0.23918421600818174, TI2: 0.7765984962580423
time: 22.0, P0: 0.4352623942335235, P1: 0.31506515620693254, P2: 0.24967244955954415, TI2: 0.8043300553260209
time: 23.0, P0: 0.4210367557478125, P1: 0.32103883052743365, P2: 0.257924413724754, TI2: 0.8268076579769417
time: 24.0, P0: 0.4098672132407869, P1: 0.3249377122083408, P2: 0.2651950745508724, TI2: 0.8452478613100856
time: 25.0, P0: 0.4007040976124047, P1: 0.3288287378605396, P2: 0.27046716452705577, TI2: 0.8596830669146512
time: 26.0, P0: 0.39375441081367296, P1: 0.33097996638785754, P2: 0.27526562279846956, TI2: 0.8714312119847967
time: 27.0, P0: 0.3880288643494114, P1: 0.33348425089474043, P2: 0.27848688475584826, TI2: 0.8803780204064369
time: 28.0, P0: 0.3838080756946373, P1: 0.3346489406798853, P2: 0.28154298362547747, TI2: 0.8876549079308401
time: 29.0, P0: 0.3803169593253764, P1: 0.33618723719641797, P2: 0.28349580347820574, TI2: 0.8930988441528294
time: 30.0, P0: 0.37775556554538375, P1: 0.3369199545936857, P2: 0.28532447986093074, TI2: 0.8974889143155471
time: 31.0, P0: 0.37570122966431024, P1: 0.33770602483779055, P2: 0.2865927454978993, TI2: 0.9008115158335892
time: 32.0, P0: 0.374105005401984, P1: 0.3383392668386407, P2: 0.28755572775937543, TI2: 0.9033707223573916
time: 33.0, P0: 0.37296072590993207, P1: 0.33855549062762075, P2: 0.28848378346244735, TI2: 0.9054430575525155
time: 34.0, P0: 0.3719226255089187, P1: 0.3392058605102638, P2: 0.28887151398081773, TI2: 0.9068688884718993
time: 35.0, P0: 0.3713408496835026, P1: 0.33903057136146975, P2: 0.28962857895502797, TI2: 0.9082077292715257
time: 36.0, P0: 0.37062602682057944, P1: 0.3397242287841984, P2: 0.2896497443952225, TI2: 0.9089437175746433
time: 37.0, P0: 0.37038953207894615, P1: 0.3392847995551916, P2: 0.2903256683658625, TI2: 0.9098561362869165
time: 38.0, P0: 0.3698659193141537, P1: 0.34000763777498355, P2: 0.290126442910863, TI2: 0.9101805235967095
time: 39.0, P0: 0.3698193316156441, P1: 0.33945819060947985, P2: 0.2907224777748762, TI2: 0.9108231461592322
time: 40.0, P0: 0.36943711865205553, P1: 0.3401112778651582, P2: 0.2904516034827865, TI2: 0.9109344848307311
time: 41.0, P0: 0.3694383257342194, P1: 0.3396974406266263, P2: 0.2908642336391543, TI2: 0.9113459079049349
time: 42.0, P0: 0.3692069370417064, P1: 0.34010072632116317, P2: 0.2906923366371305, TI2: 0.9114053995954242
time: 43.0, P0: 0.36918124001069863, P1: 0.3399383568989713, P2: 0.29088040309033014, TI2: 0.9116191630796315
time: 44.0, P0: 0.3690869895854388, P1: 0.34004495628957065, P2: 0.29086805412499056, TI2: 0.9117010645395518
time: 45.0, P0: 0.3690180822116998, P1: 0.3401159676929738, P2: 0.2908659500953265, TI2: 0.9117678678836267
time: 46.0, P0: 0.36902963788972276, P1: 0.33997029142106033, P2: 0.291000070689217, TI2: 0.9118904327994942
time: 47.0, P0: 0.3689175602459974, P1: 0.3402339329673278, P2: 0.29084850678667495, TI2: 0.9118509465406776
time: 48.0, P0: 0.36901313316820405, P1: 0.33987239126745566, P2: 0.29111447556434045, TI2: 0.9120213423961365
time: 49.0, P0: 0.36891254528003226, P1: 0.3401349173817318, P2: 0.2909525373382361, TI2: 0.911959992058204
time: 50.0, P0: 0.36895633597488564, P1: 0.3399607214849585, P2: 0.29108294254015615, TI2: 0.9120466065652708
