time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: -7.999999999999674e-05
time: 1.0, P0: 0.9826461904833282, P1: 0.013314922069404057, P2: 0.0040388874472677486, TI2: 0.0013126969639395561
time: 2.0, P0: 0.9831642092707322, P1: 0.012409307384930266, P2: 0.004426483344337539, TI2: 0.0011822740736053474
time: 3.0, P0: 0.9834421567803874, P1: 0.012146496511923469, P2: 0.004411346707689245, TI2: 0.0008891899273019614
time: 4.0, P0: 0.9836883170267116, P1: 0.011960126283822781, P2: 0.004351556689465805, TI2: 0.0005832396627543932
time: 5.0, P0: 0.9839262997772762, P1: 0.011786248454440994, P2: 0.004287451768282887, TI2: 0.0002811519910067721
time: 6.0, P0: 0.9841610999309485, P1: 0.011611547611979132, P2: 0.0042273524570724105, TI2: -1.3747473876042778e-05
time: 7.0, P0: 0.9843878752767216, P1: 0.011449459981026356, P2: 0.004162664742252133, TI2: -0.000305210534469376
time: 8.0, P0: 0.9846125072237059, P1: 0.011284239018608096, P2: 0.004103253757686069, TI2: -0.0005892534660197652
time: 9.0, P0: 0.9848343432808284, P1: 0.011117904372156172, P2: 0.004047752347015464, TI2: -0.0008665909338128978
time: 10.0, P0: 0.9850450348160203, P1: 0.010973403153100868, P2: 0.003981562030878865, TI2: -0.0011434727851413987
time: 11.0, P0: 0.9852605198723523, P1: 0.010807605075019587, P2: 0.003931875052628189, TI2: -0.0014086448197240325
time: 12.0, P0: 0.9854672552602317, P1: 0.010657572050418137, P2: 0.003875172689350276, TI2: -0.0016720825708813072
time: 13.0, P0: 0.9856669075415518, P1: 0.010518981794799804, P2: 0.003814110663648413, TI2: -0.001932796877903366
time: 14.0, P0: 0.9858699189712994, P1: 0.01036363237198261, P2: 0.0037664486567181763, TI2: -0.0021834703145810347
time: 15.0, P0: 0.9860663801819723, P1: 0.0102186778162257, P2: 0.0037149420018020847, TI2: -0.0024314381801701277
time: 16.0, P0: 0.9862555814297175, P1: 0.010086239203170309, P2: 0.0036581793671123823, TI2: -0.002677402062604923
time: 17.0, P0: 0.986446879317466, P1: 0.009941048251731227, P2: 0.0036120724308028773, TI2: -0.0029148068866630154
time: 18.0, P0: 0.9866329535559839, P1: 0.00980319618447299, P2: 0.0035638502595432917, TI2: -0.0031491032964404237
time: 19.0, P0: 0.9868097665314219, P1: 0.009683838109782043, P2: 0.0035063953587961883, TI2: -0.0033833711726255784
time: 20.0, P0: 0.9869934511606276, P1: 0.009539255533771218, P2: 0.0034672933056012455, TI2: -0.00360615785502629
time: 21.0, P0: 0.9871672307276906, P1: 0.009415245679674687, P2: 0.0034175235926347247, TI2: -0.0038297071350558622
time: 22.0, P0: 0.9873369171091378, P1: 0.009296154747148507, P2: 0.00336692814371371, TI2: -0.0040499889654240714
time: 23.0, P0: 0.9875089959345095, P1: 0.009164491644133852, P2: 0.0033265124213566954, TI2: -0.004262483513152754
time: 24.0, P0: 0.987676009718099, P1: 0.009040688030499889, P2: 0.0032833022514012155, TI2: -0.004472707466697676
time: 25.0, P0: 0.9878360115467559, P1: 0.008930180999891596, P2: 0.0032338074533524806, TI2: -0.00468220409340344
time: 26.0, P0: 0.9880000085049335, P1: 0.008803166979280562, P2: 0.003196824515785951, TI2: -0.004883183989147534
time: 27.0, P0: 0.9881571060958776, P1: 0.008689412995702635, P2: 0.0031534809084198694, TI2: -0.005083625187457621
time: 28.0, P0: 0.9883081952712413, P1: 0.008586623992197723, P2: 0.003105180736561154, TI2: -0.005283014534679964
time: 29.0, P0: 0.9884650806337085, P1: 0.00846281534881128, P2: 0.0030721040174802477, TI2: -0.005472976616228221
time: 30.0, P0: 0.9886136684642713, P1: 0.008356443875058827, P2: 0.003029887660669911, TI2: -0.005663780803601349
time: 31.0, P0: 0.988759017275688, P1: 0.008253867261198812, P2: 0.0029871154631132333, TI2: -0.005851901812574718
time: 32.0, P0: 0.9889061381915292, P1: 0.008141568901586047, P2: 0.002952292906884927, TI2: -0.006033845284644096
time: 33.0, P0: 0.9890494157211749, P1: 0.008034933529255767, P2: 0.0029156507495694066, TI2: -0.006213764971605418
time: 34.0, P0: 0.9891857800772186, P1: 0.007942417957368466, P2: 0.0028718019654130652, TI2: -0.0063939781118054016
time: 35.0, P0: 0.9893279475458654, P1: 0.007829538029574715, P2: 0.002842514424559951, TI2: -0.006565433121305381
time: 36.0, P0: 0.9894611091394991, P1: 0.007736674943167635, P2: 0.002802215917333297, TI2: -0.006738893222165769
time: 37.0, P0: 0.9895921317438723, P1: 0.007645248892766698, P2: 0.0027626193633610023, TI2: -0.006909512380511296
time: 38.0, P0: 0.9897267435876974, P1: 0.007539774711555768, P2: 0.0027334817007468926, TI2: -0.007073261886950444
time: 39.0, P0: 0.9898552855768887, P1: 0.007446617208524621, P2: 0.0026980972145866453, TI2: -0.007237188362302085
time: 40.0, P0: 0.9899804900027026, P1: 0.0073584345572146916, P2: 0.0026610754400827417, TI2: -0.007399414562619822
time: 41.0, P0: 0.9901075990261382, P1: 0.007261055968227114, P2: 0.0026313450056346024, TI2: -0.007556254020503678
time: 42.0, P0: 0.9902310980659667, P1: 0.007169565656686259, P2: 0.0025993362773470492, TI2: -0.007711761788619639
time: 43.0, P0: 0.9903484873967372, P1: 0.007090845117467046, P2: 0.0025606674857957708, TI2: -0.007867819910941409
time: 44.0, P0: 0.9904723650501545, P1: 0.006990709624168292, P2: 0.002536925325677177, TI2: -0.008015439724477352
time: 45.0, P0: 0.9905864167211017, P1: 0.006913610220460322, P2: 0.002499973058437997, TI2: -0.008166443662663683
time: 46.0, P0: 0.99070092349779, P1: 0.0068316597228515324, P2: 0.0024674167793583895, TI2: -0.008313506718431687
time: 47.0, P0: 0.9908171924518616, P1: 0.006741377206870119, P2: 0.0024414303412682798, TI2: -0.008455762110593321
time: 48.0, P0: 0.9909291913489676, P1: 0.006659241479745445, P2: 0.002411567171286939, TI2: -0.008597624177680674
time: 49.0, P0: 0.9910375248189024, P1: 0.006583678099845626, P2: 0.0023787970812519893, TI2: -0.008738727737650394
time: 50.0, P0: 0.9911473797143274, P1: 0.006500648071152632, P2: 0.0023519722145200097, TI2: -0.008875407499807345
